frame,r_shoulder_x,r_shoulder_y,r_shoulder_z,r_elbow_x,r_elbow_y,r_elbow_z,r_wrist_x,r_wrist_y,r_wrist_z,l_shoulder_x,l_shoulder_y,l_shoulder_z,l_elbow_x,l_elbow_y,l_elbow_z,l_wrist_x,l_wrist_y,l_wrist_z,r_hip_x,r_hip_y,r_hip_z,l_hip_x,l_hip_y,l_hip_z
1758,0.33469536900520325,0.4226228594779968,-0.29621273279190063,0.4308631122112274,0.4369080662727356,-0.39231759309768677,0.5330286026000977,0.39316967129707336,-0.32259228825569153,0.36560070514678955,0.4252071976661682,0.32068341970443726,0.4690934121608734,0.42938193678855896,0.4966317117214203,0.5510838627815247,0.3941916525363922,0.4801461100578308,0.40004920959472656,0.5803543329238892,-0.19288270175457,0.3921160101890564,0.5857900381088257,0.19335143268108368
1759,0.34246084094047546,0.42846551537513733,-0.277817040681839,0.44458410143852234,0.43687430024147034,-0.39525705575942993,0.5221250653266907,0.39468732476234436,-0.38929247856140137,0.3742188811302185,0.43453168869018555,0.21912334859371185,0.46975675225257874,0.4376830458641052,0.3350094258785248,0.5443580746650696,0.40095582604408264,0.2824825644493103,0.3960077166557312,0.5807825326919556,-0.14581064879894257,0.3997005522251129,0.5833430886268616,0.1460459977388382
1760,0.34355396032333374,0.4364285469055176,-0.2216014713048935,0.4434788227081299,0.442181259393692,-0.3363235890865326,0.5105639696121216,0.39894360303878784,-0.3350444436073303,0.3921939730644226,0.44417840242385864,0.1867775321006775,0.4711340665817261,0.4496012330055237,0.2380618005990982,0.5304407477378845,0.40243372321128845,0.1324956715106964,0.3845815062522888,0.5836173892021179,-0.11592680960893631,0.4124056100845337,0.5832555890083313,0.1161280944943428
1761,0.34218308329582214,0.43437081575393677,-0.2427433282136917,0.4402752220630646,0.4472164213657379,-0.3788253664970398,0.5280466079711914,0.40126270055770874,-0.380340576171875,0.39925798773765564,0.44142770767211914,0.19609376788139343,0.49595993757247925,0.4455403685569763,0.27130401134490967,0.5566348433494568,0.4011104702949524,0.1588447242975235,0.3855678141117096,0.5830407738685608,-0.13558737933635712,0.4183918833732605,0.5804086327552795,0.13584576547145844
1762,0.34073397517204285,0.43385371565818787,-0.24955835938453674,0.43286195397377014,0.4616739749908447,-0.37970584630966187,0.5181000232696533,0.41398757696151733,-0.37694448232650757,0.42028939723968506,0.44323644042015076,0.18993017077445984,0.5051144957542419,0.46256986260414124,0.23657940328121185,0.5541698932647705,0.41217559576034546,0.08951261639595032,0.3854789435863495,0.5837926864624023,-0.1383049041032791,0.4282159209251404,0.5804342031478882,0.13854292035102844
1763,0.3384973406791687,0.43308916687965393,-0.2617650032043457,0.4343922436237335,0.46490392088890076,-0.38177698850631714,0.5167031288146973,0.4238100051879883,-0.3491494357585907,0.41867968440055847,0.4365813136100769,0.21011699736118317,0.5105012059211731,0.45763319730758667,0.23302651941776276,0.5486859679222107,0.41347751021385193,0.024393538013100624,0.3873542845249176,0.5837498903274536,-0.1463003307580948,0.42782920598983765,0.5796248912811279,0.14650900661945343
1764,0.3388160169124603,0.4298411011695862,-0.2609292268753052,0.4207642078399658,0.4663938581943512,-0.38140666484832764,0.517654538154602,0.42592984437942505,-0.3669508099555969,0.417497843503952,0.43363991379737854,0.22510278224945068,0.5052624344825745,0.4547122120857239,0.3451673686504364,0.5492278337478638,0.4204007089138031,0.26689818501472473,0.3937992453575134,0.5788651704788208,-0.1478646993637085,0.42423927783966064,0.5776082277297974,0.14812731742858887
1765,0.3391823470592499,0.4272882342338562,-0.27018630504608154,0.4202701449394226,0.4659462571144104,-0.3453727662563324,0.5211606621742249,0.4289906620979309,-0.26700618863105774,0.41332191228866577,0.4303297996520996,0.23932678997516632,0.5033496618270874,0.4571514129638672,0.3449695408344269,0.5483677387237549,0.42129889130592346,0.2230025827884674,0.3950221538543701,0.577377200126648,-0.1572301983833313,0.42269468307495117,0.5762028098106384,0.1575259119272232
1766,0.33912187814712524,0.42787083983421326,-0.2577902376651764,0.4215025305747986,0.463406503200531,-0.3346453011035919,0.5362644791603088,0.43485766649246216,-0.2729468047618866,0.4101209044456482,0.4325923025608063,0.23719580471515656,0.50822514295578,0.44736260175704956,0.33392396569252014,0.5482734441757202,0.41901785135269165,0.2235826849937439,0.38901928067207336,0.5791205167770386,-0.1549551784992218,0.4212363362312317,0.5765616297721863,0.1552218645811081
1767,0.34512001276016235,0.4294056296348572,-0.2590481638908386,0.45220255851745605,0.44221025705337524,-0.358341246843338,0.537869930267334,0.417201429605484,-0.35954031348228455,0.41067808866500854,0.4400971829891205,0.2279413640499115,0.5091174840927124,0.4333076477050781,0.27980557084083557,0.5516197085380554,0.3852602243423462,0.15500850975513458,0.38915687799453735,0.5830752849578857,-0.15186509490013123,0.4208635985851288,0.5806633234024048,0.15209659934043884
